tu_fico_9,tradeline_count,inquiry_count,collection_count,revolving_utilization,delinquent_secured,delinquent_unsecured,bankruptcy_count,stated_indiv_income,stated_additional_income,tu_income_estimate,tu_monthly_payments,tu_mortgage_payments,riskview,principal,cpb,days_delinquent,payment_history
498,1,0,1,0,0,0,0,24000,0,35,46,0,,,,,open;2019-05-10;2021-04-03;1543;0;0;1543;individual;;46
612,7,5,1,63,0,0,0,30000,0,29,126,0,706,,,,"installment;2019-10-05;2019-11-03;0;352;0;0;individual;1;0,installment;2021-01-16;2021-03-31;454;539;0;0;individual;11;48,open;2020-08-19;2021-03-31;0;38;0;0;individual;111111;0,revolving;2018-10-01;2019-05-28;0;368;300;0;individual;;0,revolving;2019-06-24;2021-04-20;310;525;500;0;individual;111111111111111111111;25,revolving;2020-11-04;2021-04-02;208;299;300;0;individual;1111;28,revolving;2020-11-08;2021-03-31;149;255;250;0;individual;1111;25"
617,21,8,0,32,0,0,0,60000,0,39,1186,1075,779,,,,"installment;2013-06-11;2016-10-11;0;5000;0;0;individual;11111111111111111111111111111;0,installment;2015-02-13;2016-10-11;0;4928;0;0;individual;11111111111111111111;0,installment;2016-04-12;2017-09-30;0;2697;0;0;individual;;0,installment;2016-10-08;2020-01-10;0;4441;0;0;individual;11111111111111111111111111111111111111;0,mortgage;2015-11-23;2016-12-08;0;161912;0;0;individual;111111111;0,mortgage;2016-11-28;2017-11-02;0;162173;0;0;individual;1111111111;0,mortgage;2016-11-28;2020-03-30;0;162173;0;0;individual;11111111111111111111111111XX1111111111;0,mortgage;2020-03-24;2020-11-25;0;154499;0;0;individual;1111111;0,mortgage;2020-11-20;2021-04-05;152789;153992;0;0;individual;1111;1075,revolving;2015-08-12;2019-09-08;0;2087;2100;0;individual;;0,revolving;2015-11-23;2018-06-01;0;5810;5200;0;individual;1111111154321111111111111111111;0,revolving;2015-11-24;2021-03-31;0;2899;2900;0;individual;;0,revolving;2016-06-29;2020-03-30;0;1924;1500;0;individual;;0,revolving;2019-09-25;2021-04-21;0;191;300;0;individual;111111111111111111;0,revolving;2019-12-19;2021-04-18;426;464;600;0;individual;111111111111111;25,revolving;2019-12-20;2021-03-31;0;29;100;0;individual;111111111111111;0,revolving;2020-01-26;2021-03-31;0;74;200;0;individual;11111111111111;0,revolving;2020-03-25;2021-04-08;206;332;300;0;individual;111111111111;30,revolving;2020-08-03;2021-04-21;1154;1438;1500;0;individual;1111111;48,revolving;2020-10-30;2021-04-04;8;87;700;0;individual;11111;8,revolving;2021-03-17;2021-04-22;0;0;2200;0;individual;1;0"
647,10,1,0,64,0,0,0,400000,0,68,649,0,724,,,,"installment;2009-09-18;2013-06-24;0;35599;0;0;jointContractLiability;11111111111111111111111111111111111111111111;0,installment;2010-09-03;2013-05-09;0;38997;0;0;jointContractLiability;11111111111111111;0,open;2018-07-20;2019-03-31;0;118;0;0;individual;;0,revolving;2002-02-19;2021-04-20;10429;15264;20000;0;authorizedUser;111111111111111111111111111111111111111111111111;227,revolving;2003-08-12;2012-11-21;0;636;500;0;individual;XXXXXX1;0,revolving;2016-02-13;2021-04-12;5263;5633;5500;0;individual;111111111111111111111111111111111111111111111111;144,revolving;2017-11-01;2021-04-13;1991;2062;2000;0;individual;11111111111111111111111111111111111111111;100,revolving;2018-08-21;2021-04-06;4090;4708;4000;0;individual;11111111111111111111111111111111;156,revolving;2018-11-09;2021-04-21;22;873;800;0;individual;1111111111111111111111111111;22,revolving;2021-02-15;2021-04-02;0;0;1350;0;individual;11;0"
647,16,7,4,56,0,0,0,65000,0,55,1074,0,660,,,,"installment;2007-10-19;2011-09-26;0;14162;0;0;jointContractLiability;111111111;0,installment;2009-11-20;2013-11-20;0;12713;0;0;jointContractLiability;11111111111111111111111111111111111111111111111;0,installment;2010-01-05;2011-08-12;0;2575;0;0;individual;11111111111;0,installment;2013-09-10;2014-03-20;0;1665;0;0;individual;11111;0,installment;2014-03-20;2015-01-31;0;1600;0;0;individual;XXX111111;0,installment;2014-06-11;2014-12-31;0;758;0;0;individual;111111;0,installment;2015-01-31;2016-10-24;0;4600;0;0;individual;11111111X1XX11X11111;0,installment;2016-04-21;2019-10-11;0;19000;0;0;individual;11111111111111111111111111111111111111111;0,installment;2016-10-24;2018-05-12;0;5175;0;0;individual;111111111111111111;0,installment;2018-05-12;2020-09-08;0;6575;0;0;individual;1111111111111X1111111111111;0,installment;2018-06-16;2020-12-31;0;1350;0;0;individual;11111111111111111111111111111;0,installment;2019-10-05;2021-03-31;32330;34621;0;0;individual;111X111111111111;606,installment;2020-09-08;2021-03-31;7270;7800;0;0;individual;X1111;300,revolving;2017-03-18;2021-04-24;3411;4626;4500;0;individual;111111111111111111111111111111111111111111111111;141,revolving;2017-07-20;2021-04-10;0;1008;1250;0;individual;11111111111111111111111111111111111111111111;0,revolving;2019-12-13;2021-04-13;119;341;500;0;individual;111111111111111;27"
796,10,1,0,13,0,0,0,70000,0,57,101,0,703,,,,"installment;2005-10-21;2011-11-02;0;23673;0;0;individual;;0,revolving;2015-11-06;2018-12-11;0;522;1100;0;individual;111111111111111111111111111111111111;0,revolving;2016-12-11;2018-11-18;0;438;800;0;individual;11111111111111111111111;0,revolving;2017-01-04;2021-04-15;0;369;500;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2017-02-03;2021-04-26;0;1789;3000;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2017-02-12;2021-04-17;0;411;750;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2017-04-29;2021-04-10;856;2971;3000;0;individual;11111111111111111111111111111111111111111111111;43,revolving;2017-10-25;2020-09-14;0;112;800;0;individual;11111111111111111111111111111111111;0,revolving;2018-03-28;2021-04-06;991;6801;11000;0;individual;111111111111111111111111111111111111;25,revolving;2018-12-30;2021-04-03;1038;1538;3000;0;individual;111111111111111111111111111;33"
806,9,0,0,0,0,0,0,27000,0,63,13,0,682,,,,"installment;2016-06-12;2019-09-18;0;15467;0;0;jointContractLiability;111111111111111111111111111111111111111;0,revolving;1996-05-14;2021-04-09;0;3327;4500;0;individual;11111111111111111111X111111111111111111111111111;0,revolving;2012-10-24;2019-10-10;0;1007;10000;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2012-10-24;2021-04-21;0;667;10000;0;individual;111111111111111111;0,revolving;2012-12-25;2017-08-04;0;65;1000;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2015-06-21;2021-03-31;0;98;500;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2016-02-20;2017-11-06;0;0;2500;0;individual;11111111111111111111;0,revolving;2019-02-23;2019-11-21;0;0;2500;0;individual;11111111;0,revolving;2021-04-10;2021-04-17;13;13;2000;0;individual;;13"
471,3,0,0,98,0,0,0,70000,0,40,52,0,,,,,"installment;2017-05-29;2018-04-02;0;10904;0;0;jointContractLiability;1111111111;0,revolving;2017-06-06;2019-05-13;0;847;500;0;individual;;0,revolving;2019-06-19;2021-04-17;494;559;500;61;individual;111111111111121111111;52"
762,15,12,0,3,0,0,0,81000,0,61,1645,0,656,22500,,,"installment;2018-01-04;2018-05-16;0;34566;0;0;jointContractLiability;1111;0,installment;2018-04-29;2018-10-03;0;38016;0;0;jointContractLiability;11111;0,installment;2018-09-27;2019-10-09;0;33906;0;0;jointContractLiability;111111111111;0,installment;2019-07-02;2021-03-31;6398;16452;0;0;individual;11111111111111111111;457,installment;2019-10-04;2021-04-01;13743;24096;0;0;individual;11111111111111111;613,installment;2019-10-22;2021-04-01;8190;15000;0;0;individual;11111111111111111;456,revolving;2017-11-01;2021-02-08;0;531;500;0;individual;111111111111111111111111111111111111111;0,revolving;2017-11-01;2021-04-09;5;1393;1500;0;individual;1111111111111111111111111111111111111111;5,revolving;2018-09-20;2021-04-13;201;823;3500;0;individual;111111111111111111111111111111;35,revolving;2018-12-30;2021-04-19;0;1200;3200;0;individual;1111111111111111111111111111;0,revolving;2019-01-17;2021-04-16;5;448;2250;0;individual;11111111111111111111111111;5,revolving;2019-08-17;2021-04-10;1305;2095;4800;0;individual;1111111111111111111;33,revolving;2019-08-20;2021-03-31;32;2136;8000;0;individual;111111111111111111;25,revolving;2021-01-06;2021-04-27;16;409;8000;0;individual;111;16,revolving;2021-04-18;2021-04-19;0;0;15950;0;individual;;0"
709,20,2,0,41,0,0,0,107000,0,95,1849,0,771,,,,"installment;2014-10-15;2018-01-01;0;15418;0;0;individual;111111111111111122111111111111111111111;0,installment;2015-11-19;2017-02-03;0;6798;0;0;individual;111111111111111;0,installment;2015-11-19;2019-04-17;0;6798;0;0;individual;11111111111111111111111111;0,installment;2017-09-23;2020-08-06;0;16898;0;0;individual;11111111111111111111111111111111111;0,installment;2019-02-28;2020-01-18;0;5000;0;0;individual;11111111111;0,installment;2020-01-17;2021-04-13;21926;35000;0;0;individual;11111111111111;1202,installment;2020-07-11;2021-03-31;14574;19432;0;0;individual;11111111;539,revolving;2005-06-29;2016-01-04;0;289;100;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2005-09-20;2019-12-13;0;323;100;0;individual;11111111111111111111111111111111111111111111111;0,revolving;2005-10-20;2021-04-17;2;668;800;0;individual;211111211111111111111111111111111111111111111111;2,revolving;2005-11-14;2021-03-27;130;923;1280;40;individual;111121111111111111111111111121122111111111111111;7,revolving;2006-03-09;2021-04-07;2626;4417;4500;0;individual;111111111111111111111111111111111111111111111111;70,revolving;2006-04-10;2021-04-10;1579;2494;2000;0;individual;111111111111111111111111111111111111111111111111;29,revolving;2006-11-01;2017-06-13;0;3467;2460;0;individual;111111132111121111111111111111111111111111111111;0,revolving;2009-03-15;2013-06-09;0;273;200;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2011-04-13;2018-05-05;0;356;290;0;individual;X1111111111111111111111;0,revolving;2011-11-25;2019-11-12;0;200;100;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2012-10-14;2016-01-20;0;231;300;0;individual;111111111111111111111111111111111111111;0,revolving;2013-04-03;2016-02-29;0;2000;2000;0;individual;1111111111111111111111111111111111;0,revolving;2019-02-02;2021-04-13;0;131;1800;0;individual;11111111111111111111111111;0"
